gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
TLR4,"['C0031090', 'Periodontal disease', 'OMIM, SNOMEDCT_US, HPO', 'HP:0000704']",1.0,0.001788004497087847,6731,523,1.0
KRT10,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
PTBP2,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
KRT18,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
RHEB,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
CASP5,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
OLIG2,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
CAB39L,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
NASP,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0017891707876628695,21,167631,1.0
CCND2,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.001798645052689934,58,182416,3.0
TRPC5,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.001798645052689934,58,182416,3.0
SETDB1,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.0018005807547903793,234,30120,2.0
TFEB,"['C0018799', 'Cardiac Diseases', 'MSH', 'NULL']",S,0.001814740285641214,1339,2628,1.0
LEP,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",1.0,0.0018192004366711526,93,37835,1.0
RTCA,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.0018192004366711526,93,37835,1.0
SHBG,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.0018192004366711526,93,37835,1.0
SMAD4,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",S,0.00182531382206187,1452,17022,7.0
PAH,"['C0242606', 'Oxidative stress', 'HPO', 'HP:0025464']",NA,0.0018277226368073414,1027,17179,5.0
PARP1,"['C0239946', 'Hepatic fibrosis', 'OMIM, SNOMEDCT_US, HPO', 'HP:0001395']",NA,0.0018343521382768837,950,3703,1.0
MMP2,"['C1290884', 'Inflammatory disease', 'SNOMEDCT_US', 'NULL']",NA,0.001859279994952689,641,5486,1.0
AGT,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.0018593210984359002,213,182416,11.0
DNMT1,"['C0025202', 'Cancer of skin pigment cells', 'HPO', 'HP:0002861']",NA,0.001864665945892045,483,7280,1.0
WAS,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.0018684043966726816,289,24364,2.0
HMGCL,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.001875245613123326,42,167631,2.0
GLA,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0018898289402599895,116,151966,5.0
EGFR,"['C3714636', 'Lung Inflammation', 'MSH', 'NULL']",1.0,0.0018978311965184903,4558,2318,3.0
DPP4,"['C0042963', 'Emesis', 'SNOMEDCT_US, HPO, MSH', 'HP:0002013']",1.0,0.0019132723065925785,942,3730,1.0
CD4,"['C4721610', 'Ovarian carcinoma', 'HPO', 'HP:0025318']",S,0.001919001918004465,11407,308,1.0
TLR4,"['C0027765', 'Disease of nervous system (disorder)', 'SNOMEDCT_US', 'NULL']",1.0,0.0019404089669152358,6731,1045,2.0
PIEZO1,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",S,0.0019517788539854825,174,182416,9.0
AIP,"['C0022658', 'Nephropathy', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000112']",NA,0.0019641387317601623,2110,6674,4.0
ULK1,"['C0242379', 'Lung cancer', 'HPO', 'HP:0100526']",NA,0.0019659883511680327,516,6804,1.0
HMGB1,"['C0019189', 'Chronic liver inflammation', 'HPO', 'HP:0200123']",1.0,0.001995244064562802,6945,1012,2.0
TRPM6,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.002002603910558415,105,167631,5.0
CAT,"['C1621958', 'Glioblastoma', 'HPO', 'HP:0012174']",NA,0.0020213136665763157,1919,1828,1.0
NLRP3,"['C0020429', 'Hyperalgesia', 'MSH, SNOMEDCT_US, OMIM, HPO', 'HP:0031005']",1.0,0.0020476955558808934,8544,1234,3.0
NLRP3,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",1.0,0.0020552190118331044,8544,182416,439.0
NGF,"['C0024623', 'Gastric cancer', 'HPO', 'HP:0012126']",S,0.002101147518607404,1272,5517,2.0
S100A7,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.002104199393560027,46,76164,1.0
CD151,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.002104199393560027,46,76164,1.0
MBOAT7,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.002104199393560027,46,76164,1.0
SERPINE1,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.0021050310431142555,125,28028,1.0
CYP2D6,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.0021089810661836894,288,24364,2.0
TLR9,"['C0004364', 'Autoimmune condition', 'HPO', 'HP:0002960']",NA,0.0021093767233548466,1228,5714,2.0
GSDME,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.0021219498184353574,185,18933,1.0
NRM,"['C0032285', 'Pneumonia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002090']",NA,0.002163783266476919,529,6617,1.0
