gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
GFAP,"['C3887640', 'Astrocytosis', 'HPO', 'HP:0002446']",NA,0.44633233074038503,777,15,2.0
MLKL,"['C4076349', 'Chronic alcoholic liver disease', 'SNOMEDCT_US', 'NULL']",NA,0.446345316723062,1069,4,1.0
GRID2,"['C0043094', 'Increased body weight', 'HPO', 'HP:0004324']",NA,0.44637629707992127,2,2137,1.0
PLCB3,"['C0043094', 'Increased body weight', 'HPO', 'HP:0004324']",NA,0.44637629707992127,2,2137,1.0
ANKK1,"['C0043094', 'Increased body weight', 'HPO', 'HP:0004324']",NA,0.44637629707992127,2,2137,1.0
JAK1,"['C0026987', 'Myelofibrosis', 'HPO', 'HP:0011974']",NA,0.4463955320759007,596,230,11.0
TICAM1,"['C0023798', 'Fatty lump', 'HPO', 'HP:0012032']",1.0,0.4464072919372992,16,267,1.0
TYMP,"['C0023798', 'Fatty lump', 'HPO', 'HP:0012032']",NA,0.4464072919372992,16,267,1.0
CALR,"['C2613439', 'Extramedullary hematopoiesis', 'OMIM, HPO, SNOMEDCT_US', 'HP:0001978']",NA,0.4464072919372992,89,48,1.0
CD36,"['C4281786', 'Foam cells', 'HPO', 'HP:0003651']",NA,0.4464352778245883,754,463,21.0
NBL1,"['C0027819', 'Cancer of early nerve cells', 'HPO', 'HP:0003006']",S,0.44645749993510886,6,1939,2.0
CNR1,"['C1263846', 'Attention deficit disorder', 'OMIM, SNOMEDCT_US, HPO', 'HP:0007018']",1.0,0.4464848426096815,17,251,1.0
GPD1,"['C1285355', 'Mendelian disorders', 'SNOMEDCT_US', 'NULL']",NA,0.4465003636484444,79,54,1.0
DCXR,"['C2717961', 'Thrombotic Microangiopathies', 'MSH', 'NULL']",NA,0.44653141664389223,13,328,1.0
ARSA,"['C0019360', 'Herpes Zoster', 'MSH', 'NULL']",NA,0.4465469486039913,7,609,1.0
PRKN,"['C0920627', 'Orphan Diseases', 'MSH', 'NULL']",NA,0.4465469486039913,49,87,1.0
EWSR1,"['C0008479', 'Chondrosarcoma', 'HPO', 'HP:0006765']",NA,0.4465469486039913,49,87,1.0
CTNND1,"['C4321245', 'Cleft lip', 'HPO', 'HP:0410030']",NA,0.4465469486039913,87,49,1.0
NCF2,"['C0740451', 'Disorder characterized by granuloma formation', 'SNOMEDCT_US', 'NULL']",NA,0.4465649677754134,48,242,2.0
LRG1,"['C1704321', 'MCNS - Minimal change nephrotic syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.4465935663543002,426,10,1.0
MEFV,"['C4082167', 'Marshall syndrome with periodic fever', 'SNOMEDCT_US', 'NULL']",1.0,0.4466285204715526,326,64,3.0
RASA1,"['C2937358', 'Bleeding in brain', 'HPO', 'HP:0001342']",NA,0.4466557744486626,16,266,1.0
MUC7,"['C0043352', 'Decreased salivary flow', 'HPO', 'HP:0000217']",NA,0.4466935858337142,55,379,3.0
DLC1,"['C0345904', 'Liver cancer', 'HPO', 'HP:0002896']",NA,0.44671100310589223,77,2011,12.0
PGD,"['C0340537', 'Fat embolism', 'HPO', 'HP:0032008']",NA,0.44673361683634843,109,39,1.0
STXBP1,"['C0876991', 'Hemophagocytosis', 'HPO, SNOMEDCT_US', 'HP:0012156']",NA,0.4467491963003843,34,125,1.0
F11R,"['C0238461', 'Anaplastic thyroid carcinoma', 'HPO', 'HP:0011779']",NA,0.44678036622874456,177,24,1.0
MEST,"['C0018552', 'Hamartoma', 'HPO', 'HP:0010566']",NA,0.44678036622874456,24,177,1.0
REG1B,"['C0267792', 'Hepatobiliary Diseases', 'MSH', 'NULL']",S,0.44678040395354823,60,193,2.0
MCOLN3,"['C0030421', 'Carotid body tumors', 'HPO', 'HP:0002668']",NA,0.44681155083566837,22,193,1.0
EPO,"['C1263989', 'Anemia with regeneration', 'SNOMEDCT_US', 'NULL']",NA,0.44684449149793076,671,31,3.0
APOC3,"['C0079773', 'Cutaneous T-cell lymphoma', 'HPO', 'HP:0012192']",S,0.44688226779027834,330,63,3.0
BHLHE40,"['C0524909', 'Chronic Hepatitis B Virus Infection', 'MSH', 'NULL']",NA,0.44690519286623237,10,424,1.0
CYP11B2,"['C0020621', 'Hypokalemia', 'HPO', 'HP:0002900']",NA,0.44692081275345635,9,471,1.0
MCM5,"['C0018834', 'Acid reflux', 'SNOMEDCT_US, HPO', 'HP:0002020']",NA,0.4469364363259198,13,326,1.0
CEP72,"['C0442874', 'Neuropathy', 'OMIM, SNOMEDCT_US, HPO', 'HP:0009830']",NA,0.4469557401416252,35,2453,8.0
CYP24A1,"['C0265290', 'Metaphyseal chondrodysplasia', 'HPO', 'HP:0005871']",NA,0.4469676945335235,353,12,1.0
NTM,"['C0032273', 'PK - Pneumoconiosis', 'SNOMEDCT_US', 'NULL']",NA,0.4469833291721462,121,35,1.0
NTM,"['C0013575', 'Ectodermal dysplasia', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000968']",NA,0.4469833291721462,121,35,1.0
PIK3CD,"['C0019655', 'Histoplasmosis', 'MSH, SNOMEDCT_US, HPO', 'HP:0032256']",NA,0.44699651092522436,74,156,2.0
MMACHC,"['C0029124', 'Optic nerve atrophy', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000648']",NA,0.4469989675029732,29,146,1.0
ATR,"['C0241775', 'Organic aciduria', 'HPO', 'HP:0001992']",NA,0.4470146095277486,249,17,1.0
DCLRE1C,"['C0263541', 'Equine laminitis', 'SNOMEDCT_US', 'NULL']",NA,0.44706155778322726,10,423,1.0
SCN11A,"['C0596240', 'Cancer Pain', 'MSH', 'NULL']",NA,0.44706155778322726,10,423,1.0
FCHO1,"['C5139167', 'Severe infection', 'HPO', 'HP:0032169']",NA,0.4472026025896458,7,603,1.0
LY6E,"['C0043395', 'YF - Yellow fever', 'SNOMEDCT_US', 'NULL']",NA,0.4472810908192669,31,136,1.0
NCL,"['C0338451', 'Frontotemporal dementia', 'OMIM, HPO, SNOMEDCT_US', 'HP:0002145']",NA,0.4473125121776638,98,43,1.0
KCNH2,"['C0009952', 'Fever induced seizures', 'HPO', 'HP:0002373']",NA,0.4473439484524431,27,156,1.0
CTRC,"['C0522070', 'Pancreatic symptom', 'SNOMEDCT_US', 'NULL']",1.0,0.4473439484524431,351,12,1.0
CRKL,"['C0220704', '22q11 microdeletion with velocardiofacial syndrome phenotype', 'SNOMEDCT_US', 'NULL']",NA,0.4473439484524431,54,78,1.0
ITPA,"['C0392171', 'Flu-like symptoms', 'SNOMEDCT_US', 'NULL']",NA,0.44747892001083595,193,162,4.0
KLF15,"['C0027868', 'Combined disorder of muscle AND peripheral nerve', 'SNOMEDCT_US', 'NULL']",NA,0.4475013540686975,22,191,1.0
FGF9,"['C0002453', 'Abnormal absence of menstruation', 'HPO', 'HP:0000141']",NA,0.447532880140028,42,100,1.0
CHD7,"['C1837385', 'Poor growth', 'HPO', 'HP:0001510']",NA,0.447532880140028,50,84,1.0
NF1,"['C1847319', 'Carney Stratakis dyad', 'SNOMEDCT_US', 'NULL']",NA,0.447532880140028,525,8,1.0
SLC19A2,"['C4551563', 'Abnormally small cranium', 'HPO', 'HP:0000252']",NA,0.4475486488057958,13,323,1.0
ACE,"['C0152170', 'Transient hypertension', 'SNOMEDCT_US', 'NULL']",1.0,0.44756442122734924,2099,2,1.0
ACE,"['C1142077', 'Fungal sinusitis', 'SNOMEDCT_US', 'NULL']",1.0,0.44756442122734924,2099,2,1.0
ACE,"['C0264802', 'Dilated cardiomyopathy secondary to metabolic disorder', 'SNOMEDCT_US', 'NULL']",1.0,0.44756442122734924,2099,2,1.0
PLCG2,"['C0015974', 'Periodic fever', 'OMIM, HPO, SNOMEDCT_US', 'HP:0032323']",NA,0.44757610761000993,53,216,2.0
HLA-DRB1,"['C0001824', 'Agranulocytosis', 'MSH, SNOMEDCT_US, HPO', 'HP:0012234']",1.0,0.4475864923732243,219,94,3.0
GZMA,"['C4087124', 'IgG4 Related Systemic Disease', 'MSH', 'NULL']",NA,0.4476162669200419,36,3266,10.0
PCBP2,"['C0282193', 'Increased storage iron', 'SNOMEDCT_US', 'NULL']",NA,0.44763507710255085,37,556,3.0
ESR2,"['C0026838', 'Involuntary muscle stiffness, contraction, or spasm', 'HPO', 'HP:0001257']",NA,0.44767493349070264,33,127,1.0
ATP6V1B1,"['C0001122', 'Acidosis', 'HPO', 'HP:0001941']",NA,0.44772235240542413,3,1396,1.0
MRPS14,"['C0001122', 'Acidosis', 'HPO', 'HP:0001941']",NA,0.44772235240542413,3,1396,1.0
SLC4A1,"['C0001122', 'Acidosis', 'HPO', 'HP:0001941']",NA,0.44772235240542413,3,1396,1.0
NR1I2,"['C1318485', 'Nodular regenerative hyperplasia of liver', 'HPO, SNOMEDCT_US', 'HP:0011954']",NA,0.447753983889942,13,322,1.0
LYVE1,"['C0023794', 'Lipid storage disease', 'SNOMEDCT_US', 'NULL']",NA,0.4477698053000229,45,93,1.0
PPID,"['C0032617', 'Increased urine output', 'HPO, SNOMEDCT_US', 'HP:0000103']",1.0,0.447785827995207,128,336,5.0
SMARCB1,"['C0036857', 'Early and severe mental retardation', 'HPO', 'HP:0010864']",NA,0.4478172922232332,102,41,1.0
ATR,"['C0007758', 'Ataxia', 'MSH, OMIM, HPO, SNOMEDCT_US', 'HP:0001251']",NA,0.447826157365154,249,930,16.0
CDKL5,"['C0038220', 'Repeated seizures without recovery between them', 'HPO', 'HP:0002133']",NA,0.44784896910093785,19,220,1.0
IL12B,"['C0023343', 'Hansen Disease', 'MSH', 'NULL']",NA,0.44784896910093785,22,190,1.0
CD68,"['C0019624', 'Histiocytosis, Non-Langerhans-Cell', 'MSH', 'NULL']",S,0.4478677311468688,1140,10,2.0
MRPS14,"['C0006625', 'Cachexia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0004326']",NA,0.4479123683509495,3,1392,1.0
CNDP1,"['C0006625', 'Cachexia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0004326']",NA,0.4479123683509495,3,1392,1.0
PDGFB,"['C0008479', 'Chondrosarcoma', 'HPO', 'HP:0006765']",NA,0.4479123683509495,48,87,1.0
FAM13A,"['C1800706', 'Usual interstitial pneumonia', 'SNOMEDCT_US, HPO', 'HP:0031950']",NA,0.4479123683509495,12,348,1.0
FOXP3,"['C0342288', 'Autoimmunity-Immunodeficiency Syndrome, X-Linked', 'MSH', 'NULL']",NA,0.4479123683509495,1044,4,1.0
FOXP3,"['C0263505', 'Alopecia universalis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002289']",NA,0.4479123683509495,1044,4,1.0
GCK,"['C0004903', ""Beckwith's syndrome"", 'SNOMEDCT_US', 'NULL']",NA,0.447928227652086,167,25,1.0
TNFSF10,"['C0376545', 'Blood cancer', 'HPO', 'HP:0001909']",S,0.4479599576534496,39,107,1.0
GCA,"['C0751711', 'AION - anterior ischemic optic neuropathy', 'SNOMEDCT_US', 'NULL']",NA,0.44800758118054995,417,10,1.0
TRPV4,"['C4759767', 'Spondylometaphyseal dysplasia', 'OMIM, HPO, SNOMEDCT_US', 'HP:0002657']",NA,0.44803934923660604,1042,4,1.0
CPE,"['C0747635', 'Bilateral pleural effusion', 'SNOMEDCT_US', 'NULL']",NA,0.44805986318454316,409,50,3.0
LOXL1,"['C0017601', 'Glaucoma', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0000501']",NA,0.4480966912995039,83,516,5.0
OSGEP,"['C2316810', 'Chronic renal failure', 'OMIM, SNOMEDCT_US, HPO', 'HP:0003774']",NA,0.4481029311057048,6,694,1.0
ITGAX,"['C0005695', 'Bladder cancer', 'HPO', 'HP:0009725']",NA,0.4481029311057048,3,1388,1.0
ABHD4,"['C0005695', 'Bladder cancer', 'HPO', 'HP:0009725']",NA,0.4481029311057048,3,1388,1.0
CCK,"['C0033036', 'Ectopic supraventricular rhythms', 'HPO', 'HP:0006699']",1.0,0.44813080882038986,986,697,34.0
FYCO1,"['C0005586', 'Bipolar affective disorder', 'SNOMEDCT_US, HPO', 'HP:0007302']",NA,0.44815065760260236,19,219,1.0
FAM13A,"['C0600260', 'Obstructive lung disease', 'HPO, OMIM', 'HP:0006536']",NA,0.44816058516642954,12,946,2.0
AP2A1,"['C0006277', 'Bronchitis', 'MSH, OMIM, HPO, SNOMEDCT_US', 'HP:0012387']",NA,0.44816657408184707,10,416,1.0
ABCA1,"['C0000744', 'Abetalipoproteinemia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0008181']",NA,0.44816657408184707,208,20,1.0
SOD2,"['C0036646', 'Age-related cataract', 'HPO', 'HP:0011141']",NA,0.44816657408184707,520,8,1.0
ALPL,"['C0005944', 'Bone Diseases, Metabolic', 'MSH', 'NULL']",NA,0.448198418521787,66,63,1.0
MVK,"['C1285355', 'Mendelian disorders', 'SNOMEDCT_US', 'NULL']",NA,0.448198418521787,77,54,1.0
SCN1A,"['C0014550', 'Epilepsy, Myoclonus', 'MSH', 'NULL']",NA,0.448198418521787,77,54,1.0
HLA-C,"['C0041227', 'Trypanosomiasis', 'MSH, SNOMEDCT_US', 'NULL']",NA,0.448198418521787,54,77,1.0
MVK,"['C3714772', 'Episodic fever', 'HPO', 'HP:0001954']",NA,0.4482171866384873,77,265,3.0
MTIF3,"['C0011854', 'Juvenile diabetes mellitus', 'HPO', 'HP:0100651']",NA,0.44824621391294805,1,4155,1.0
MSH2,"['C1847319', 'Carney Stratakis dyad', 'SNOMEDCT_US', 'NULL']",NA,0.4482940438258826,519,8,1.0
FGFR2,"['C0010278', 'Cranial suture synostosis', 'HPO', 'HP:0001363']",NA,0.4482977304387922,237,86,3.0
ATP7B,"['C0014394', 'Enuresis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0000805']",NA,0.44830747686075767,236,48,2.0
GAL,"['C0175754', 'Absent corpus callosum', 'HPO', 'HP:0001274']",NA,0.44835787082993617,122,34,1.0
DDR2,"['C0267952', 'Pancreatic fibrosis', 'OMIM, HPO', 'HP:0100732']",NA,0.44836210987584996,131,889,10.0
USH2A,"['C0019069', 'AHG deficiency disease', 'SNOMEDCT_US', 'NULL']",NA,0.4483738371980856,13,319,1.0
PHLDA2,"['C0001973', 'Alcoholism', 'MSH, SNOMEDCT_US, HPO', 'HP:0030955']",NA,0.4484057814879375,5,829,1.0
STRC,"['C0021364', 'Male infertility', 'OMIM, SNOMEDCT_US, HPO', 'HP:0003251']",NA,0.4484217594133569,16,259,1.0
CARD14,"['C0033860', 'Psoriasis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0003765']",NA,0.4484349376995816,27,1579,5.0
HDAC6,"['C0040435', 'Disease of teeth (disorder)', 'SNOMEDCT_US', 'NULL']",NA,0.44848570969508106,230,18,1.0
CYP11A1,"['C0564408', 'Mania', 'SNOMEDCT_US, HPO, MSH', 'HP:0100754']",NA,0.44848570969508106,45,92,1.0
REG1A,"['C0013370', 'Amebic colitis', 'SNOMEDCT_US', 'NULL']",1.0,0.44848570969508106,207,20,1.0
LMF1,"['C0020476', 'Hyperlipoproteinemia', 'HPO, MSH, SNOMEDCT_US', 'HP:0010980']",1.0,0.44849233242402015,426,100,5.0
SPINK5,"['C0263641', 'Epidermal hyperplasia', 'OMIM', 'NULL']",NA,0.4485497217943903,88,47,1.0
WFS1,"['C0011848', 'Diabetes insipidus', 'OMIM, SNOMEDCT_US, HPO', 'HP:0000873']",NA,0.44855298931931653,83,136,2.0
PVR,"['C0268849', 'Detrusor overactivity', 'SNOMEDCT_US', 'NULL']",NA,0.44858175106300935,159,26,1.0
ATP6V1B2,"['C0544966', 'Autophagic vacuoles', 'HPO', 'HP:0003736']",NA,0.4486298240317841,17,243,1.0
UCHL1,"['C0752304', 'Hypoxic ischemic brain injury', 'SNOMEDCT_US', 'NULL']",NA,0.4486298240317841,81,51,1.0
IFITM3,"['C0266999', 'Vesicular Stomatitis', 'MSH', 'NULL']",S,0.44864585611310653,35,118,1.0
UNC13D,"['C0024291', 'Hemophagocytic lymphohistiocytosis (disorder)', 'SNOMEDCT_US', 'NULL']",NA,0.44864585611310653,14,295,1.0
MPL,"['C0026987', 'Myelofibrosis', 'HPO', 'HP:0011974']",NA,0.4486637538958827,49,230,2.0
SLC26A6,"['C0013289', 'Disease of duodenum (disorder)', 'SNOMEDCT_US', 'NULL']",NA,0.44867793192462196,129,32,1.0
MSX2,"['C0010278', 'Cranial suture synostosis', 'HPO', 'HP:0001363']",NA,0.44867793192462196,48,86,1.0
LCT,"['C0022951', 'Milk intolerance', 'HPO', 'HP:0004789']",NA,0.44872607479230325,33,125,1.0
ACD,"['C0677660', 'Emotional problems', 'SNOMEDCT_US', 'NULL']",NA,0.44872607479230325,165,25,1.0
IL1B,"['C0242723', 'Parasitemia', 'MSH', 'NULL']",1.0,0.44876876910017066,294,188,6.0
TOLLIP,"['C0020179', 'Chronic progressive chorea', 'SNOMEDCT_US', 'NULL']",NA,0.44880639076525247,10,412,1.0
CNP,"['C0003850', 'Arteriosclerosis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002634']",NA,0.4488981723381891,72,156,2.0
STC1,"['C1837406', 'Hypoplasia involving bones of the upper limbs', 'HPO', 'HP:0009824']",NA,0.4488981723381891,156,72,2.0
NTM,"['C4551720', 'Immotile Cilia Syndrome', 'MSH', 'NULL']",NA,0.44890289869330624,121,34,1.0
S1PR1,"['C0341106', 'Chronic Esophagitis, Eosinophilic', 'MSH', 'NULL']",NA,0.44902805985040267,101,111,2.0
HAVCR2,"['C0024291', 'Hemophagocytic lymphohistiocytosis (disorder)', 'SNOMEDCT_US', 'NULL']",NA,0.44903425103721045,38,295,2.0
CIT,"['C0878643', 'Epiphenomenon', 'DDB', 'NULL']",NA,0.44906405845057873,108,38,1.0
IL10RB,"['C2315100', 'Failure to thrive', 'OMIM, SNOMEDCT_US, HPO', 'HP:0001508']",NA,0.4490801960189732,11,373,1.0
HTRA2,"['C1858120', 'Decreased muscle tone', 'HPO', 'HP:0001290']",NA,0.4490961932989418,25,448,2.0
CRLF2,"['C0013080', 'Complete trisomy 21 syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.4491223812246597,69,292,3.0
PUS1,"['C0002871', 'Anemia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001903']",NA,0.44912863233339323,1,4100,1.0
UQCC1,"['C4021734', 'Abnormality of mitochondrial metabolism', 'HPO', 'HP:0003287']",NA,0.44912863233339323,2,2050,1.0
CLSTN1,"['C0152013', 'Lung adenocarcinoma', 'HPO', 'HP:0030078']",NA,0.44912863233339323,4,1025,1.0
TSC2,"['C0265316', 'Neurocutaneous Disorders', 'MSH', 'NULL']",NA,0.44912863233339323,205,20,1.0
LCAT,"['C0020474', 'Hyperapobetalipoproteinemia', 'OMIM, HPO, SNOMEDCT_US', 'HP:0008158']",NA,0.44920943833680493,91,45,1.0
VHL,"['C0007093', 'Carcinoid Heart Disease', 'MSH', 'NULL']",NA,0.44920943833680493,455,9,1.0
CYP2E1,"['C0376670', 'Alcohol-induced pancreatitis', 'SNOMEDCT_US', 'NULL']",1.0,0.44925001691640626,372,224,8.0
AIFM2,"['C0026244', 'Mitochondrial swelling', 'HPO', 'HP:0030774']",NA,0.4492699263049566,84,133,2.0
MET,"['C4048705', 'Hypermethioninemia', 'OMIM, SNOMEDCT_US, HPO, MSH', 'HP:0003235']",1.0,0.44928856637480497,1241,9,2.0
MAGT1,"['C0149678', 'EBV Infections', 'MSH', 'NULL']",NA,0.4493162156663483,103,296,4.0
SNAI3,"['C0549473', 'Thyroid carcinoma', 'HPO', 'HP:0002890']",NA,0.4493227326528555,8,511,1.0
MEN1,"['C0994638', 'Abnormal pancreas location', 'HPO', 'HP:0006278']",NA,0.4493227326528555,511,8,1.0
FAP,"['C0085390', 'Li-Fraumeni Syndrome', 'MSH', 'NULL']",NA,0.4493990993209005,1298,76,9.0
DYSF,"['C0035410', 'Breakdown of skeletal muscle', 'HPO', 'HP:0003201']",NA,0.4494362211323533,11,371,1.0
HLA-DQA1,"['C0041227', 'Trypanosomiasis', 'MSH, SNOMEDCT_US', 'NULL']",1.0,0.4494362211323533,53,77,1.0
CDKN2C,"['C2936179', 'Obesity, Visceral', 'MSH', 'NULL']",NA,0.4494524496611881,30,136,1.0
MYO6,"['C0015397', 'Eye disease', 'HPO', 'HP:0000478']",NA,0.4494524496611881,12,340,1.0
COL2A1,"['C0013336', 'Dwarfism', 'HPO', 'HP:0003510']",NA,0.4494524496611881,80,51,1.0
POR,"['C0022573', 'Keratoconjunctivitis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001096']",NA,0.4494524496611881,80,51,1.0
EIF2B1,"['C0025286', 'Meningioma', 'HPO', 'HP:0002858']",NA,0.4494524496611881,17,240,1.0
SAG,"['C0018923', 'Angiosarcoma', 'HPO', 'HP:0200058']",NA,0.4494524496611881,24,170,1.0
PLN,"['C0221239', 'RPGN - Rapidly progressive glomerulonephritis', 'SNOMEDCT_US', 'NULL']",NA,0.4495336520154207,163,25,1.0
HLA-F,"['C0018133', 'GVHD - Graft-versus-host disease', 'SNOMEDCT_US', 'NULL']",NA,0.4495824212663637,4,1018,1.0
GRAP2,"['C0018133', 'GVHD - Graft-versus-host disease', 'SNOMEDCT_US', 'NULL']",S,0.4495824212663637,4,1018,1.0
NEK11,"['C0016057', 'Fibrosarcoma', 'HPO', 'HP:0100244']",NA,0.44964750285546357,18,226,1.0
STAT4,"['C0030409', 'Blastomyces brasiliensis Infection', 'MSH', 'NULL']",1.0,0.44964750285546357,113,36,1.0
SAMD9L,"['C0206062', 'Abnormality in area between air sacs in lung', 'HPO', 'HP:0006530']",NA,0.44964891443042865,40,500,3.0
MPL,"['C0019322', 'Umbilical hernia', 'OMIM, SNOMEDCT_US, HPO', 'HP:0001537']",NA,0.4496637832517543,49,83,1.0
XRCC2,"['C0021359', 'Infertility', 'HPO', 'HP:0000789']",NA,0.4497061709822656,14,793,2.0
LMNA,"['C0241703', 'High pitched voice', 'HPO', 'HP:0001620']",1.0,0.4497941707151522,369,11,1.0
LMNA,"['C0263498', 'Early graying', 'HPO', 'HP:0002216']",1.0,0.4497941707151522,369,11,1.0
BSCL2,"['C1849618', 'Accelerated atherosclerosis', 'HPO', 'HP:0004943']",1.0,0.4498431322786241,104,39,1.0
GCM2,"['C0014132', 'Endocrine neoplasia', 'HPO', 'HP:0100568']",NA,0.44997387370624414,23,176,1.0
WAS,"['C2700553', 'Omenn Syndrome', 'MSH', 'NULL']",NA,0.45000659943538995,289,14,1.0
TRAF3IP2,"['C0033860', 'Psoriasis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0003765']",NA,0.45001318197109696,7,1579,2.0
CPA1,"['C0238339', 'Familial Pancreatitis', 'MSH', 'NULL']",1.0,0.4500398423429109,255,447,10.0
LIPC,"['C0394006', 'DES - Dysequilibrium syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.45009666560881917,53,375,3.0
LGI1,"['C0152025', 'Polyneuropathy', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001271']",NA,0.4501829334113835,37,298,2.0
ECHS1,"['C1858120', 'Decreased muscle tone', 'HPO', 'HP:0001290']",NA,0.4502361335008319,9,448,1.0
ABAT,"['C1858120', 'Decreased muscle tone', 'HPO', 'HP:0001290']",NA,0.4502361335008319,9,448,1.0
OPTN,"['C1837496', 'Axonal degeneration', 'HPO', 'HP:0040078']",NA,0.4502361335008319,63,64,1.0
GATA2,"['C0343900', 'Disseminated histoplasmosis', 'SNOMEDCT_US, HPO', 'HP:0032257']",NA,0.4502361335008319,144,28,1.0
POMC,"['C0032897', 'Labhart-Willi Syndrome', 'MSH', 'NULL']",NA,0.450245909824073,216,51,2.0
AHNAK,"['C0595989', 'Cancer of the larynx', 'HPO', 'HP:0012118']",NA,0.45026898912620394,65,62,1.0
MOG,"['C0878575', 'Demyelination', 'HPO', 'HP:0011096']",NA,0.45029371513587846,89,338,4.0
SCN5A,"['C0393735', 'Cephalgia Syndromes', 'MSH', 'NULL']",NA,0.450301861061145,53,76,1.0
PRRG4,"['C0233514', 'Behavioral abnormality', 'HPO', 'HP:0000708']",NA,0.450351199579443,5,805,1.0
NR4A1,"['C1860127', 'Impaired T cell function', 'HPO', 'HP:0005435']",NA,0.450351199579443,115,35,1.0
CHSY1,"['C0345904', 'Liver cancer', 'HPO', 'HP:0002896']",NA,0.450400574885505,2,2011,1.0
TBX1,"['C0020626', 'Decreased parathyroid hormone secretion', 'HPO', 'HP:0000829']",NA,0.45040991642508427,35,314,2.0
BCS1L,"['C0751651', 'Mitochondrial Diseases', 'MSH', 'NULL']",NA,0.45049943608064535,8,502,1.0
MT-ND1,"['C0751651', 'Mitochondrial Diseases', 'MSH', 'NULL']",NA,0.45049943608064535,8,502,1.0
PHLDA1,"['C1397307', 'Cardiac fibrosis', 'OMIM', 'NULL']",NA,0.45049943608064535,8,502,1.0
NFKB2,"['C0020635', 'Hypopituitarism', 'MSH, OMIM, HPO, SNOMEDCT_US', 'HP:0040075']",NA,0.45051592730513074,55,73,1.0
DNAJC5,"['C0018889', 'Helminth infection', 'SNOMEDCT_US', 'NULL']",NA,0.45055809057044843,31,637,3.0
ADGRG2,"['C0033626', 'Protein Deficiency', 'MSH', 'NULL']",NA,0.4505654256342666,59,68,1.0
CCDC65,"['C4551720', 'Immotile Cilia Syndrome', 'MSH', 'NULL']",NA,0.4505654256342666,118,34,1.0
ANXA6,"['C0001807', 'Aggression', 'HPO', 'HP:0000718']",S,0.450580741343737,33,1635,6.0
ADAMTS13,"['C4761103', 'Anti-MuSK Myasthenia Gravis', 'MSH', 'NULL']",S,0.4505869734079998,378,29,2.0
AFP,"['C1318711', 'Herpes simplex 1', 'SNOMEDCT_US', 'NULL']",NA,0.45059844508724634,802,5,1.0
CHMP2B,"['C0086543', 'Cataract', 'HPO', 'HP:0000518']",NA,0.45063148101288986,8,501,1.0
EGR2,"['C0023798', 'Fatty lump', 'HPO', 'HP:0012032']",NA,0.4506810658235772,15,267,1.0
FAN1,"['C0023798', 'Fatty lump', 'HPO', 'HP:0012032']",NA,0.4506810658235772,15,267,1.0
CD59,"['C0242497', 'Intestinal schistosomiasis', 'SNOMEDCT_US', 'NULL']",NA,0.4506810658235772,89,45,1.0
CXCL17,"['C4721610', 'Ovarian carcinoma', 'HPO', 'HP:0025318']",NA,0.450697602347968,13,308,1.0
MAPK8,"['C0041227', 'Trypanosomiasis', 'MSH, SNOMEDCT_US', 'NULL']",NA,0.450697602347968,52,77,1.0
MTHFR,"['C0751202', 'CBS Deficiency', 'MSH', 'NULL']",NA,0.450697602347968,286,14,1.0
CASR,"['C0020437', 'High blood calcium levels', 'HPO', 'HP:0003072']",1.0,0.45070024089581373,331,1930,33.0
DSG3,"['C0030809', 'PV - Pemphigus vulgaris', 'SNOMEDCT_US', 'NULL']",NA,0.45073068779036446,69,58,1.0
LEPR,"['C0277524', 'Infectious colitis', 'SNOMEDCT_US', 'NULL']",1.0,0.45073068779036446,69,58,1.0
PLAT,"['C0151632', 'Elevated ESR', 'HPO', 'HP:0003565']",NA,0.4507637897713481,50,80,1.0
YARS1,"['C0002453', 'Abnormal absence of menstruation', 'HPO', 'HP:0000141']",NA,0.4507637897713481,40,100,1.0
ITGB6,"['C0079680', 'Disease caused by Lentivirus', 'SNOMEDCT_US', 'NULL']",NA,0.4507637897713481,100,40,1.0
CDO1,"['C0334054', 'Cystic disease (morphologic abnormality)', 'SNOMEDCT_US', 'NULL']",NA,0.45083004341527294,108,37,1.0
GFRAL,"['C0003123', 'Anorexia', 'MSH, OMIM, HPO', 'HP:0002039']",NA,0.45088188196803713,88,927,8.0
